Tema Queja;Año;Área;Número de quejas
Radiaciones electromagnéticas;2018;Usaquén;3
Radiaciones electromagnéticas;2018;Chapinero;2
Radiaciones electromagnéticas;2018;Santa Fe;0
Radiaciones electromagnéticas;2018;San Cristóbal;0
Radiaciones electromagnéticas;2018;Usme;0
Radiaciones electromagnéticas;2018;Tunjuelito;0
Radiaciones electromagnéticas;2018;Bosa;0
Radiaciones electromagnéticas;2018;Kennedy;0
Radiaciones electromagnéticas;2018;Fontibón;2
Radiaciones electromagnéticas;2018;Engativá;2
Radiaciones electromagnéticas;2018;Suba;1
Radiaciones electromagnéticas;2018;Barrios Unidos;3
Radiaciones electromagnéticas;2018;Teusaquillo;2
Radiaciones electromagnéticas;2018;Los Mártires;0
Radiaciones electromagnéticas;2018;Antonio Nariño;0
Radiaciones electromagnéticas;2018;Puente Aranda;0
Radiaciones electromagnéticas;2018;La Candelaria;0
Radiaciones electromagnéticas;2018;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2018;Ciudad Bolívar;0
Radiaciones electromagnéticas;2018;Distrito;15
Olores ofensivos;2018;Usaquén;14
Olores ofensivos;2018;Chapinero;5
Olores ofensivos;2018;Santa Fe;1
Olores ofensivos;2018;San Cristóbal;1
Olores ofensivos;2018;Usme;4
Olores ofensivos;2018;Tunjuelito;4
Olores ofensivos;2018;Bosa;11
Olores ofensivos;2018;Kennedy;6
Olores ofensivos;2018;Fontibón;5
Olores ofensivos;2018;Engativá;20
Olores ofensivos;2018;Suba;14
Olores ofensivos;2018;Barrios Unidos;6
Olores ofensivos;2018;Teusaquillo;5
Olores ofensivos;2018;Los Mártires;2
Olores ofensivos;2018;Antonio Nariño;4
Olores ofensivos;2018;Puente Aranda;7
Olores ofensivos;2018;La Candelaria;1
Olores ofensivos;2018;Rafael Uribe Uribe;3
Olores ofensivos;2018;Ciudad Bolívar;8
Olores ofensivos;2018;Distrito;121
Contaminación por ruido;2018;Usaquén;3
Contaminación por ruido;2018;Chapinero;5
Contaminación por ruido;2018;Santa Fe;0
Contaminación por ruido;2018;San Cristóbal;2
Contaminación por ruido;2018;Usme;4
Contaminación por ruido;2018;Tunjuelito;4
Contaminación por ruido;2018;Bosa;30
Contaminación por ruido;2018;Kennedy;5
Contaminación por ruido;2018;Fontibón;5
Contaminación por ruido;2018;Engativá;12
Contaminación por ruido;2018;Suba;8
Contaminación por ruido;2018;Barrios Unidos;4
Contaminación por ruido;2018;Teusaquillo;3
Contaminación por ruido;2018;Los Mártires;2
Contaminación por ruido;2018;Antonio Nariño;3
Contaminación por ruido;2018;Puente Aranda;5
Contaminación por ruido;2018;La Candelaria;0
Contaminación por ruido;2018;Rafael Uribe Uribe;5
Contaminación por ruido;2018;Ciudad Bolívar;5
Contaminación por ruido;2018;Distrito;105
Contaminación por aire;2019;Usaquén;3
